publisher_id,publisher_name,publisher_website,publisher_email
1,Alpha Publishing,https://alpha.com,info@alpha.com
2,Beta Books,https://beta.com,contact@beta.com
4,Delta Press,https://delta.com,support@delta.com
5,Epsilon House,https://epsilon.com,info@epsilon.com
7,Eta Editions,https://eta.com,hello@eta.com
3,Gamma Reads,https://gamma.com,hello@gamma.com
9,Iota Publishing,https://iota.com,info@iota.com
10,Kappa House,https://kappa.com,contact@kappa.com
8,Theta Books,https://theta.com,support@theta.com
6,Zeta Media,https://zeta.com,contact@zeta.com
